epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,9625.02,0.51672,0.85296,0.57818,0.94948,0.84581,0.71811,0.79858,0.70857,0.84963,0.71484,0.79566,0.67928,0.45156,0.93883,0.54445,0.90816,0.008152,0.008152,0.008152
58,9793.57,0.508,0.84584,0.57703,0.95014,0.85015,0.70412,0.79489,0.70421,0.8525,0.70606,0.79305,0.67636,0.45502,0.9546,0.54587,0.91258,0.008119,0.008119,0.008119
59,9962.35,0.50979,0.8409,0.5666,0.94734,0.85649,0.70739,0.79731,0.70753,0.86173,0.7028,0.79376,0.67918,0.45379,0.94328,0.5443,0.91383,0.008086,0.008086,0.008086
60,10130.9,0.51135,0.84909,0.57242,0.95189,0.85392,0.71322,0.80059,0.70649,0.85311,0.71142,0.79395,0.67884,0.45381,0.95089,0.54328,0.91241,0.008053,0.008053,0.008053
61,10299.4,0.5063,0.83945,0.57058,0.94838,0.86196,0.70819,0.79979,0.70876,0.85859,0.70832,0.79377,0.67847,0.45028,0.95314,0.54873,0.91024,0.00802,0.00802,0.00802
62,10468.1,0.50599,0.83518,0.55927,0.94458,0.86477,0.70662,0.80077,0.70776,0.86538,0.70058,0.79437,0.67742,0.45082,0.94401,0.54685,0.91399,0.007987,0.007987,0.007987
63,10636.5,0.50418,0.84927,0.5585,0.94638,0.85885,0.70982,0.8007,0.71011,0.86483,0.70674,0.79506,0.68025,0.44849,0.94391,0.53693,0.91138,0.007954,0.007954,0.007954
64,10805.1,0.50308,0.82411,0.55584,0.94427,0.87206,0.71484,0.80666,0.71306,0.87497,0.70754,0.79986,0.68488,0.45222,0.95152,0.53465,0.91395,0.007921,0.007921,0.007921
65,10973.7,0.49828,0.81922,0.55395,0.94276,0.87346,0.71419,0.80637,0.71395,0.87674,0.7103,0.80029,0.6874,0.45133,0.94201,0.53502,0.9115,0.007888,0.007888,0.007888
66,11142.5,0.50018,0.8134,0.55629,0.94265,0.84652,0.71491,0.80011,0.71063,0.84911,0.71225,0.7953,0.6835,0.44819,0.93769,0.54074,0.90851,0.007855,0.007855,0.007855
67,11310.9,0.5023,0.81146,0.56027,0.94465,0.85522,0.71841,0.80462,0.71439,0.86343,0.71419,0.79929,0.68473,0.44648,0.93017,0.53916,0.90762,0.007822,0.007822,0.007822
68,11479.8,0.49592,0.81579,0.54994,0.94097,0.85386,0.71564,0.80365,0.71256,0.85796,0.71095,0.79741,0.68414,0.44927,0.93278,0.53496,0.91229,0.007789,0.007789,0.007789
69,11648.2,0.4952,0.81711,0.5501,0.94255,0.86384,0.71543,0.80485,0.71455,0.8657,0.71225,0.80061,0.68605,0.44125,0.92947,0.53617,0.90553,0.007756,0.007756,0.007756
70,11816.7,0.49261,0.81897,0.54683,0.93942,0.85542,0.71225,0.80612,0.71679,0.88014,0.6941,0.79985,0.68798,0.43903,0.9286,0.53428,0.90427,0.007723,0.007723,0.007723
71,11985.5,0.49109,0.80036,0.53909,0.94044,0.86154,0.7178,0.80768,0.71781,0.86698,0.71549,0.80392,0.68928,0.44331,0.92618,0.52489,0.90888,0.00769,0.00769,0.00769
72,12154,0.49197,0.802,0.53767,0.94168,0.86035,0.7197,0.80904,0.71888,0.87488,0.71452,0.80473,0.69008,0.44262,0.92795,0.52137,0.91195,0.007657,0.007657,0.007657
73,12322.8,0.49615,0.82127,0.53101,0.9388,0.86412,0.71614,0.80758,0.71657,0.86789,0.71549,0.80225,0.68679,0.44112,0.93626,0.52243,0.91141,0.007624,0.007624,0.007624
74,12491.2,0.49183,0.80152,0.53695,0.93932,0.87518,0.70706,0.80455,0.71437,0.87585,0.70674,0.80115,0.68511,0.44458,0.93107,0.52767,0.91538,0.007591,0.007591,0.007591
75,12659.7,0.48697,0.79646,0.53558,0.93829,0.84768,0.72456,0.80369,0.71593,0.85803,0.71287,0.79932,0.68769,0.43943,0.92021,0.53441,0.91264,0.007558,0.007558,0.007558
76,12828.2,0.48669,0.80089,0.52772,0.9346,0.84681,0.72904,0.80552,0.71695,0.86094,0.72022,0.80184,0.69024,0.43669,0.91461,0.52573,0.91138,0.007525,0.007525,0.007525
77,12997,0.48754,0.79562,0.53063,0.93398,0.866,0.71828,0.80612,0.71679,0.86855,0.71727,0.80141,0.68728,0.43833,0.91669,0.52669,0.91435,0.007492,0.007492,0.007492
78,13165.3,0.47858,0.78109,0.52471,0.93081,0.85581,0.72262,0.80906,0.71977,0.86169,0.71808,0.80425,0.69248,0.43727,0.91545,0.52325,0.91197,0.007459,0.007459,0.007459
79,13333.9,0.48139,0.77567,0.51751,0.93107,0.84896,0.72129,0.8063,0.71901,0.85687,0.7178,0.80323,0.69007,0.43309,0.91683,0.52108,0.90877,0.007426,0.007426,0.007426
80,13502.2,0.48056,0.78629,0.51787,0.9338,0.85993,0.71646,0.80739,0.72036,0.86477,0.71906,0.80405,0.69,0.43333,0.91939,0.52033,0.90748,0.007393,0.007393,0.007393
81,13670.7,0.48131,0.77313,0.52027,0.93321,0.8668,0.70933,0.80753,0.72124,0.8691,0.71257,0.80249,0.68966,0.43593,0.92743,0.51926,0.90915,0.00736,0.00736,0.00736
82,13838.7,0.47206,0.76554,0.51572,0.9316,0.85638,0.71808,0.8066,0.72066,0.86555,0.71614,0.80258,0.68938,0.43479,0.91898,0.52258,0.91029,0.007327,0.007327,0.007327
83,14007.3,0.47332,0.77919,0.50949,0.92893,0.8585,0.72067,0.80858,0.7211,0.85102,0.72563,0.80446,0.68923,0.42736,0.91158,0.52094,0.90534,0.007294,0.007294,0.007294
84,14175.5,0.4693,0.76447,0.50549,0.92859,0.85681,0.71841,0.80909,0.72058,0.85798,0.71841,0.80189,0.68876,0.42905,0.89407,0.52473,0.90554,0.007261,0.007261,0.007261
85,14343.8,0.47369,0.76852,0.50416,0.9304,0.86191,0.71517,0.80691,0.71982,0.86578,0.71483,0.80152,0.68984,0.42932,0.89117,0.52384,0.90718,0.007228,0.007228,0.007228
86,14512.4,0.4766,0.77313,0.50828,0.92865,0.86437,0.71549,0.80774,0.72155,0.87668,0.70868,0.80314,0.69068,0.42782,0.89507,0.52506,0.90623,0.007195,0.007195,0.007195
87,14680.9,0.47643,0.75804,0.50901,0.93186,0.86764,0.71646,0.80941,0.72247,0.87136,0.71777,0.80518,0.69285,0.42737,0.89631,0.51956,0.90593,0.007162,0.007162,0.007162
88,14849.5,0.47043,0.76245,0.50564,0.92625,0.86477,0.72322,0.80966,0.72363,0.86971,0.72553,0.80666,0.69349,0.42669,0.89407,0.51615,0.90533,0.007129,0.007129,0.007129
89,15017.9,0.46413,0.75538,0.50277,0.9258,0.86046,0.72135,0.81006,0.7235,0.86344,0.72327,0.8073,0.69487,0.42734,0.89795,0.51521,0.90616,0.007096,0.007096,0.007096
90,15186.6,0.47239,0.76539,0.50314,0.92659,0.85888,0.72579,0.81037,0.72398,0.87003,0.72229,0.80783,0.69554,0.42776,0.90139,0.51898,0.90514,0.007063,0.007063,0.007063
91,15354.9,0.46511,0.76406,0.49687,0.92434,0.8502,0.72828,0.81144,0.72486,0.86083,0.72558,0.80837,0.69532,0.42647,0.90516,0.51955,0.90479,0.00703,0.00703,0.00703
92,15523.5,0.47054,0.75475,0.49327,0.92865,0.88021,0.70956,0.81162,0.72461,0.87516,0.71555,0.80896,0.69549,0.42498,0.91177,0.51856,0.90283,0.006997,0.006997,0.006997
93,15691.7,0.4574,0.73311,0.48714,0.92539,0.86604,0.72067,0.81316,0.72743,0.87749,0.71719,0.80984,0.69816,0.42451,0.90712,0.5128,0.90214,0.006964,0.006964,0.006964
