epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1022.99,0.36277,0.41627,0.33705,0.8639,0.98466,0.95887,0.98943,0.94683,0.98005,0.95722,0.98728,0.88047,0.27676,0.43991,0.26151,0.61198,0.0016304,0.0016304,0.0016304
58,1040.89,0.37018,0.42027,0.33403,0.86816,0.98025,0.97835,0.98911,0.95334,0.97616,0.97503,0.98878,0.89,0.26932,0.43017,0.2573,0.59927,0.0016238,0.0016238,0.0016238
59,1058.9,0.36881,0.42406,0.34296,0.87322,0.97419,0.9802,0.98951,0.95477,0.97611,0.98485,0.98969,0.88284,0.27723,0.36514,0.26211,0.61274,0.0016172,0.0016172,0.0016172
60,1076.78,0.35182,0.39574,0.32797,0.85981,0.97141,0.98485,0.99101,0.95134,0.97088,0.98268,0.99095,0.87441,0.28196,0.34396,0.28622,0.61206,0.0016106,0.0016106,0.0016106
61,1094.68,0.34903,0.39269,0.31916,0.85945,0.96912,0.98485,0.99074,0.95561,0.968,0.98206,0.99032,0.90883,0.26553,0.3823,0.24394,0.60049,0.001604,0.001604,0.001604
62,1112.56,0.35734,0.40609,0.33212,0.86463,0.96917,0.98052,0.99195,0.95134,0.96917,0.98052,0.99256,0.88925,0.28326,0.41417,0.25475,0.60635,0.0015974,0.0015974,0.0015974
63,1130.6,0.34611,0.39778,0.3168,0.86393,0.97198,0.97597,0.9827,0.94534,0.96982,0.97369,0.98143,0.87301,0.26604,0.44583,0.27749,0.61229,0.0015908,0.0015908,0.0015908
64,1148.46,0.36444,0.39813,0.33536,0.86503,0.97008,0.98485,0.99023,0.95316,0.97605,0.97016,0.98947,0.88566,0.27372,0.36292,0.26808,0.60559,0.0015842,0.0015842,0.0015842
65,1166.34,0.35263,0.41788,0.32707,0.86542,0.96609,0.97403,0.99065,0.95617,0.98021,0.96506,0.99131,0.91082,0.26394,0.42905,0.24967,0.60359,0.0015776,0.0015776,0.0015776
66,1184.23,0.35983,0.40522,0.32398,0.86347,0.96604,0.98513,0.99115,0.95792,0.97396,0.97164,0.98919,0.9,0.26753,0.4139,0.25154,0.60524,0.001571,0.001571,0.001571
67,1202.24,0.35983,0.39771,0.3275,0.86564,0.9746,0.98268,0.99141,0.95894,0.97616,0.97509,0.99052,0.91846,0.26264,0.37458,0.24879,0.60082,0.0015644,0.0015644,0.0015644
68,1220.11,0.3512,0.41598,0.32474,0.86072,0.98291,0.96537,0.99215,0.96148,0.9807,0.9632,0.99205,0.89166,0.26733,0.33941,0.23781,0.59904,0.0015578,0.0015578,0.0015578
69,1237.97,0.34462,0.41177,0.31343,0.86231,0.97546,0.9697,0.99073,0.95865,0.97328,0.96753,0.99015,0.90805,0.25629,0.34544,0.24556,0.59409,0.0015512,0.0015512,0.0015512
70,1255.85,0.34622,0.38443,0.32333,0.86653,0.97421,0.98104,0.99034,0.95654,0.9783,0.97564,0.98999,0.87993,0.27055,0.41569,0.24492,0.60587,0.0015446,0.0015446,0.0015446
71,1273.87,0.34493,0.3862,0.32178,0.86628,0.96999,0.98485,0.99164,0.9604,0.97477,0.97835,0.9915,0.91392,0.26318,0.38069,0.23398,0.61091,0.001538,0.001538,0.001538
72,1291.75,0.35147,0.4114,0.30866,0.86788,0.97815,0.969,0.99056,0.95882,0.97386,0.96778,0.99053,0.88529,0.258,0.45877,0.25362,0.60373,0.0015314,0.0015314,0.0015314
73,1309.62,0.34584,0.38471,0.31099,0.86285,0.98475,0.97836,0.99195,0.95646,0.9863,0.97835,0.99198,0.89126,0.26741,0.38658,0.24529,0.60202,0.0015248,0.0015248,0.0015248
74,1327.52,0.34239,0.3876,0.31191,0.8603,0.98242,0.98268,0.99005,0.9615,0.98242,0.98268,0.99007,0.88571,0.25304,0.43154,0.23156,0.59071,0.0015182,0.0015182,0.0015182
75,1345.55,0.33814,0.38528,0.308,0.85887,0.97639,0.98456,0.987,0.95863,0.97639,0.98456,0.987,0.89801,0.25397,0.42277,0.23475,0.59317,0.0015116,0.0015116,0.0015116
76,1363.35,0.35235,0.39705,0.32284,0.86061,0.98265,0.98046,0.9911,0.96208,0.98322,0.98052,0.99114,0.90337,0.26133,0.42383,0.24288,0.59598,0.001505,0.001505,0.001505
77,1381.24,0.34838,0.39699,0.31884,0.86316,0.97224,0.98532,0.99168,0.96196,0.96964,0.98268,0.99109,0.88261,0.25333,0.41828,0.23158,0.59753,0.0014984,0.0014984,0.0014984
78,1399.08,0.3514,0.3986,0.31042,0.86124,0.97313,0.97835,0.98846,0.96147,0.97313,0.97835,0.98845,0.9093,0.24743,0.42162,0.23515,0.59314,0.0014918,0.0014918,0.0014918
79,1417.1,0.34721,0.39227,0.3154,0.8658,0.97834,0.98485,0.99051,0.95824,0.98336,0.97186,0.99035,0.87782,0.26648,0.42717,0.24132,0.60708,0.0014852,0.0014852,0.0014852
80,1434.99,0.35258,0.39969,0.31267,0.85901,0.974,0.97303,0.987,0.95729,0.9781,0.96693,0.98549,0.88296,0.25085,0.4337,0.25518,0.59722,0.0014786,0.0014786,0.0014786
81,1452.8,0.33806,0.39314,0.3056,0.85469,0.97032,0.97835,0.98946,0.96109,0.96817,0.97619,0.98837,0.88481,0.25233,0.42579,0.24253,0.59848,0.001472,0.001472,0.001472
82,1470.67,0.33392,0.38754,0.30481,0.85078,0.97646,0.9878,0.98993,0.96085,0.97218,0.98347,0.98926,0.88255,0.24821,0.41301,0.22782,0.5984,0.0014654,0.0014654,0.0014654
83,1488.64,0.33844,0.39687,0.31252,0.86291,0.97085,0.98268,0.98943,0.95987,0.96871,0.98052,0.98914,0.88624,0.25468,0.4055,0.23469,0.5977,0.0014588,0.0014588,0.0014588
84,1506.47,0.33386,0.38806,0.30478,0.8558,0.97853,0.98639,0.99151,0.96253,0.97853,0.98639,0.99136,0.89252,0.25159,0.38374,0.22971,0.59634,0.0014522,0.0014522,0.0014522
85,1524.32,0.3417,0.38964,0.30517,0.86055,0.97217,0.98281,0.99013,0.96193,0.97003,0.98064,0.9906,0.90826,0.23982,0.42534,0.22618,0.58725,0.0014456,0.0014456,0.0014456
86,1542.19,0.33997,0.3919,0.30251,0.85898,0.97041,0.98052,0.9914,0.96143,0.96821,0.97835,0.99106,0.88617,0.24021,0.42187,0.24033,0.59338,0.001439,0.001439,0.001439
87,1560.2,0.33076,0.37899,0.29221,0.85928,0.9722,0.98409,0.98897,0.96183,0.97584,0.98268,0.9891,0.89303,0.24188,0.40796,0.23314,0.59927,0.0014324,0.0014324,0.0014324
88,1578.05,0.33192,0.39644,0.29772,0.85968,0.97572,0.97619,0.98853,0.96013,0.97572,0.97619,0.98853,0.90364,0.23552,0.40904,0.22968,0.59888,0.0014258,0.0014258,0.0014258
89,1595.92,0.33138,0.35695,0.29348,0.85965,0.97816,0.9694,0.98696,0.9582,0.98034,0.97156,0.98794,0.89557,0.23452,0.40256,0.23888,0.59014,0.0014192,0.0014192,0.0014192
90,1613.81,0.33466,0.37494,0.29661,0.85752,0.97804,0.98701,0.9915,0.96232,0.98054,0.98154,0.99114,0.91595,0.23573,0.40299,0.23212,0.58602,0.0014126,0.0014126,0.0014126
91,1631.86,0.33096,0.37456,0.29762,0.85392,0.96508,0.98485,0.98808,0.95666,0.96291,0.98268,0.98794,0.89357,0.2487,0.36647,0.24308,0.59912,0.001406,0.001406,0.001406
92,1649.76,0.33316,0.3873,0.29977,0.85641,0.97514,0.97619,0.98826,0.96062,0.97445,0.97619,0.98824,0.90863,0.24427,0.3951,0.23284,0.5984,0.0013994,0.0013994,0.0013994
93,1667.66,0.32075,0.36508,0.28937,0.85662,0.98037,0.97271,0.98951,0.96309,0.97818,0.97051,0.98984,0.90191,0.23916,0.38546,0.23839,0.59412,0.0013928,0.0013928,0.0013928
